likes,sport,followers,statuses_count,text_stemmed,text_lemmatized,text_string
2,soccer,771,3416,"['that', 'chant', 'realli', 'invest', 'decent', 'infrastructur', 'injur', 'player', 'carri', 'field', 'never', 'meant', 'soccer', 'stretcher', 'look', 'stabl', 'cardboard']","['thats', 'chant', 'really', 'investment', 'decent', 'infrastructure', 'injured', 'player', 'carried', 'field', 'never', 'meant', 'soccer', 'stretcher', 'look', 'stable', 'cardboard']",thats  chant  really  investment  decent  infrastructure  injured  player  carried  field  never  meant  soccer  stretcher  look  stable  cardboard
0,soccer,374,10596,"['lack', 'play', 'frustrat']","['lack', 'play', 'frustrating']",lack  play  frustrating
0,soccer,685,4645,"['rebel', 'half', 'vs', 'blazer', 'soccer']","['rebel', 'half', 'v', 'blazer', 'soccer']",rebel  half  v  blazer  soccer
0,soccer,278,10885,"['fan', 'footbal', 'anymor', 'sinc', 'work', 'citi', 'fulli', 'expect', 'one', 'day', 'read', 'one', 'day', 'fan', 'take', 'footbal', 'serious', 'storm', 'field', 'beaten', 'snot', 'ref', 'like', 'happen', 'soccer', 'game', 'hope', 'wrong']","['fan', 'football', 'anymore', 'since', 'worked', 'city', 'fully', 'expect', 'one', 'day', 'read', 'one', 'day', 'fan', 'take', 'football', 'seriously', 'stormed', 'field', 'beaten', 'snot', 'ref', 'like', 'happened', 'soccer', 'game', 'hope', 'wrong']",fan  football  anymore  since  worked  city  fully  expect  one  day  read  one  day  fan  take  football  seriously  stormed  field  beaten  snot  ref  like  happened  soccer  game  hope  wrong
0,soccer,1000,18146,"['recent', 'convers', 'soccer', 'fan', 'express', 'earn', 'promot', 'championship', 'last', 'season', 'team', 'finish', 'top', 'right', 'ugh', 'well', 'differ']","['recently', 'conversation', 'soccer', 'fan', 'expressed', 'earned', 'promotion', 'championship', 'last', 'season', 'team', 'finished', 'top', 'right', 'ugh', 'well', 'different']",recently  conversation  soccer  fan  expressed  earned  promotion  championship  last  season  team  finished  top  right  ugh  well  different
0,soccer,8853,15732,"['suppli', 'game', 'win', 'goal', 'extend', 'win', 'streak', 'three', 'bu', 'hand', 'first', 'loss', 'season']","['supplied', 'game', 'winning', 'goal', 'extended', 'win', 'streak', 'three', 'bu', 'handing', 'first', 'loss', 'season']",supplied  game  winning  goal  extended  win  streak  three  bu  handing  first  loss  season
0,soccer,691,3646,"['athlet', 'draw', 'home', 'soccer', 'game', 'pm', 'come', 'watch', 'good', 'luck', 'platoon', 'fan', 'club']","['athletic', 'drawing', 'home', 'soccer', 'game', 'pm', 'come', 'watch', 'good', 'luck', 'platoon', 'fan', 'club']",athletic  drawing  home  soccer  game  pm  come  watch  good  luck  platoon  fan  club
0,soccer,77,273,"['fire', 'vs', 'live', 'stream', 'soccer', 'free', 'fire', 'vs', 'live', 'stream', 'watch', 'preview', 'predict', 'amp', 'odd', 'go', 'live', 'gt', 'watch', 'live', 'gt']","['fire', 'v', 'live', 'stream', 'soccer', 'free', 'fire', 'v', 'live', 'streaming', 'watch', 'preview', 'prediction', 'amp', 'odds', 'go', 'live', 'gt', 'watch', 'live', 'gt']",fire  v  live  stream  soccer  free  fire  v  live  streaming  watch  preview  prediction  amp  odds  go  live  gt  watch  live  gt
0,soccer,46627,15529,['defeat'],['defeat'],defeat
0,soccer,51,88,"['rd', 'th', 'grader', 'play', 'monitor', 'small', 'side', 'soccer', 'game', 'last', 'week']","['rd', 'th', 'grader', 'played', 'monitored', 'small', 'sided', 'soccer', 'game', 'last', 'week']",rd  th  grader  played  monitored  small  sided  soccer  game  last  week
1,soccer,130,12391,"['soccer', 'town', 'basebal', 'town']","['soccer', 'town', 'baseball', 'town']",soccer  town  baseball  town
0,soccer,593,21310,"['world', 'cup', 'men', 'footbal', 'soccer', 'disgust', 'place', 'disgust', 'decis', 'sport', 'bodi']","['world', 'cup', 'men', 'football', 'soccer', 'disgusting', 'place', 'disgusting', 'decision', 'sport', 'body']",world  cup  men  football  soccer  disgusting  place  disgusting  decision  sport  body
0,soccer,125,1171,"['soccer', 'fond', 'lac', 'final']","['soccer', 'fond', 'lac', 'final']",soccer  fond  lac  final
0,soccer,230,3944,"['soccer', 'footbal']","['soccer', 'football']",soccer  football
0,soccer,69,915,"['watch', 'kirk', 'cousin', 'like', 'go', 'one', 'littl', 'brother', 'soccer', 'game', 'expect', 'much', 'expect', 'least', 'littl', 'action']","['watching', 'kirk', 'cousin', 'like', 'going', 'one', 'little', 'brother', 'soccer', 'game', 'expect', 'much', 'expect', 'least', 'little', 'action']",watching  kirk  cousin  like  going  one  little  brother  soccer  game  expect  much  expect  least  little  action
1,soccer,586,980,"['soccer', 'thank', 'diet', 'coke', 'return', 'favor']","['soccer', 'thank', 'diet', 'coke', 'return', 'favor']",soccer  thank  diet  coke  return  favor
0,soccer,276,19073,"['materi', 'three', 'year', 'cycl', 'vs', 'organ', 'kind', 'stuff', 'make', 'smarter', 'soccer', 'way', 'last', 'beyond', 'game', 'write', 'good', 'stuff']","['material', 'three', 'year', 'cycle', 'v', 'organization', 'kind', 'stuff', 'make', 'smarter', 'soccer', 'way', 'last', 'beyond', 'game', 'writing', 'good', 'stuff']",material  three  year  cycle  v  organization  kind  stuff  make  smarter  soccer  way  last  beyond  game  writing  good  stuff
249,soccer,20453,17884,"['time', 'offici', 'piec', 'absurd', 'john', 'year', 'best', 'sign', 'ever', 'made', 'actual', 'product', 'youth', 'system', 'becam', 'celebr', 'decad', 'cutback']","['time', 'officially', 'piece', 'absurdity', 'john', 'year', 'best', 'signing', 'ever', 'made', 'actually', 'product', 'youth', 'system', 'became', 'celebrity', 'decade', 'cutback']",time  officially  piece  absurdity  john  year  best  signing  ever  made  actually  product  youth  system  became  celebrity  decade  cutback
0,soccer,77,273,"['fire', 'vs', 'live', 'stream', 'soccer', 'free', 'fire', 'vs', 'live', 'stream', 'watch', 'preview', 'predict', 'amp', 'odd', 'go', 'live', 'gt', 'watch', 'live', 'gt']","['fire', 'v', 'live', 'stream', 'soccer', 'free', 'fire', 'v', 'live', 'streaming', 'watch', 'preview', 'prediction', 'amp', 'odds', 'go', 'live', 'gt', 'watch', 'live', 'gt']",fire  v  live  stream  soccer  free  fire  v  live  streaming  watch  preview  prediction  amp  odds  go  live  gt  watch  live  gt
0,soccer,3725,11590,"['soccer', 'thank', 'join', 'us', 'cant', 'wait', 'back']","['soccer', 'thanks', 'joining', 'u', 'cant', 'wait', 'back']",soccer  thanks  joining  u  cant  wait  back
0,soccer,39,2688,"['he', 'soccer', 'mom', 'demand', 'see', 'manag', 'expir', 'talk', 'financ', 'phone', 'whole', 'time']","['he', 'soccer', 'mom', 'demand', 'see', 'manager', 'expired', 'talking', 'finance', 'phone', 'whole', 'time']",he  soccer  mom  demand  see  manager  expired  talking  finance  phone  whole  time
